"date","water_temp"
2020-12-10,10.51
2020-12-11,11.45
2020-12-12,12.16
2020-12-13,11.6
2020-12-14,12.65
2020-12-15,14.04
2020-12-16,12.09
2020-12-17,12.2
2020-12-18,14.98
2020-12-19,14.3
2020-12-20,13.59
2020-12-21,12.27
2020-12-22,12.88
2020-12-23,13.89
2020-12-24,11.79
2020-12-25,9.913
2020-12-26,8.075
2020-12-27,7.475
2020-12-28,12.61
2020-12-29,10.96
2020-12-30,9.425
2020-12-31,10.21
