20190124-12:00:00   1.208000 11.26
20190125-12:00:00   1.165000 12.24
20190126-12:00:00   1.114000 14.04
20190127-12:00:00   1.067000 13.14
20190128-12:00:00   1.043000 12.01
20190129-12:00:00   1.070000 10.1
20190130-12:00:00   1.040000 11.86
20190131-12:00:00   1.018000 14.52
20190201-12:00:00   0.992000 14.3
20190202-12:00:00   0.959800 11.83
20190203-12:00:00   0.924900 11.6
20190204-12:00:00   0.924200 11.45
20190205-12:00:00   0.906700 13.62
20190206-12:00:00   0.905200 13.85
20190207-12:00:00   0.899300 12.99
20190208-12:00:00   0.958400 14.04
20190209-12:00:00   0.938500 14.67
20190210-12:00:00   0.949600 16.4
20190211-12:00:00   0.937300 14.49
20190212-12:00:00   0.925500 12.91
20190213-12:00:00   0.912500 13.59
20190214-12:00:00   0.897400 13.36
20190215-12:00:00   0.887700 13.51
20190216-12:00:00   0.861900 12.99
20190217-12:00:00   0.838200 13.89
20190218-12:00:00   0.829100 14.26
20190219-12:00:00   0.813900 14.71
20190220-12:00:00   0.805300 15.5
20190221-12:00:00   0.780400 13.89
20190222-12:00:00   0.753600 16.62
20190223-12:00:00   0.746900 16.14
20190224-12:00:00   0.734500 14.34
20190225-12:00:00   0.708500 14.45
20190226-12:00:00   0.730200 15.35
20190227-12:00:00   0.706700 15.01
20190228-12:00:00   0.705400 15.35
20190301-12:00:00   0.692400 15.16
20190302-12:00:00   0.694600 15.58
20190303-12:00:00   0.671400 15.12
20190304-12:00:00   0.670100 16.81
20190305-12:00:00   0.659100 15.46
20190306-12:00:00   0.658400 15.24
20190307-12:00:00   0.658900 15.58
20190308-12:00:00   0.645800 14.53
20190309-12:00:00   0.645100 14.71
20190310-12:00:00   0.641800 15.43
20190311-12:00:00   0.640800 15.95
20190312-12:00:00   0.630500 15.24
20190313-12:00:00   0.665500 12.5
20190314-12:00:00   0.645100 14.41
20190315-12:00:00   0.645500 15.09
20190316-12:00:00   0.645700 15.35
20190317-12:00:00   0.652500 15.84
20190318-12:00:00   0.660900 15.65
20190319-12:00:00   0.662600 14.08
20190320-12:00:00   0.673000 14.19
20190321-12:00:00   0.682900 14.34
20190322-12:00:00   0.691000 16.06
20190323-12:00:00   0.693300 16.89
20190324-12:00:00   0.702800 18.05
20190325-12:00:00   0.705700 16.85
20190326-12:00:00   0.700100 15.61
20190327-12:00:00   0.706400 15.31
20190328-12:00:00   0.707700 15.84
20190329-12:00:00   0.708400 15.28
20190330-12:00:00   0.708000 15.2
20190331-12:00:00   0.703200 14.67
20190401-12:00:00   0.693100 16.21
20190402-12:00:00   0.694000 16.25
20190403-12:00:00   0.856300 14.49
20190404-12:00:00   0.759200 12.95
20190405-12:00:00   0.788400 14.41
20190406-12:00:00   0.826800 15.31
20190407-12:00:00   0.897800 14.6
20190408-12:00:00   0.981700 15.65
20190409-12:00:00   1.175000 14.15
20190410-12:00:00   1.212000 15.09
20190411-12:00:00   1.365000 15.84
20190412-12:00:00   1.493000 16.85
20190413-12:00:00   1.634000 15.61
20190414-12:00:00   1.751000 14.9
20190415-12:00:00   1.838000 15.54
20190416-12:00:00   1.912000 15.72
20190417-12:00:00   1.964000 16.21
20190418-12:00:00   1.973000 16.29
20190419-12:00:00   1.967000 17.6
20190420-12:00:00   1.931000 16.81
20190421-12:00:00   1.861000 16.89
20190422-12:00:00   1.818000 16.44
20190423-12:00:00   1.747000 16.7
20190424-12:00:00   1.667000 16.7
20190425-12:00:00   1.586000 17
20190426-12:00:00   1.514000 16.92
20190427-12:00:00   1.455000 16.74
20190428-12:00:00   1.380000 15.95
20190429-12:00:00   1.325000 17.56
20190430-12:00:00   1.251000 18.09
20190501-12:00:00   1.192000 17.53
20190502-12:00:00   1.153000 17.75
20190503-12:00:00   1.210000 14.98
20190504-12:00:00   1.135000 15.46
20190505-12:00:00   1.124000 15.35
20190506-12:00:00   1.185000 16.1
20190507-12:00:00   1.215000 16.66
20190508-12:00:00   1.345000 17.26
20190509-12:00:00   1.381000 17.71
20190510-12:00:00   1.420000 18.01
20190511-12:00:00   1.462000 18.39
20190512-12:00:00   1.477000 18.88
20190513-12:00:00   1.486000 18.24
20190514-12:00:00   1.478000 18.24
20190515-12:00:00   1.462000 16.7
20190516-12:00:00   1.444000 16.7
20190517-12:00:00   1.456000 15.46
20190518-12:00:00   1.463000 16.06
20190519-12:00:00   1.470000 16.44
20190520-12:00:00   1.445000 16.81
20190521-12:00:00   1.442000 18.12
20190522-12:00:00   1.465000 19.06
20190523-12:00:00   1.482000 18.95
20190524-12:00:00   1.531000 17.49
20190525-12:00:00   1.541000 18.65
20190526-12:00:00   1.549000 19.55
20190527-12:00:00   1.553000 19.66
20190528-12:00:00   1.662000 18.05
20190529-12:00:00   1.607000 17.97
20190530-12:00:00   1.602000 18.46
20190531-12:00:00   1.601000 20.22
20190601-12:00:00   1.556000 20.15
20190602-12:00:00   1.539000 19.55
20190603-12:00:00   1.492000 20.22
20190604-12:00:00   1.455000 20.34
20190605-12:00:00   1.394000 20.15
20190606-12:00:00   1.355000 19.36
20190607-12:00:00   1.295000 20.53
20190608-12:00:00   1.232000 19.66
20190609-12:00:00   1.179000 21.84
20190610-12:00:00   1.137000 21.16
20190611-12:00:00   1.302000 15.8
20190612-12:00:00   1.146000 17.19
20190613-12:00:00   1.115000 18.76
20190614-12:00:00   1.083000 21.65
20190615-12:00:00   1.066000 20.34
20190616-12:00:00   1.040000 20.68
20190617-12:00:00   1.035000 21.16
20190618-12:00:00   1.006000 21.01
20190619-12:00:00   0.984900 21.69
20190620-12:00:00   0.965400 21.09
20190621-12:00:00   0.942800 21.91
20190622-12:00:00   0.905700 22.18
20190623-12:00:00   0.889100 21.39
20190624-12:00:00   0.862400 22.18
20190625-12:00:00   0.835900 23.97
